Date,Name,Nationality,Cause of death
1 May 2019,Phujung Bhote,Nepal,Crevasse
16 May 2018,Park Shin-yong,South Korea,Exhaustion or altitude sickness
26 September 2011,Joerg Henning,Germany,Avalanche
23 September 2011,Rostislav Krpec,Czech Republic,Unknown
22 May 2011,Ronald Naar,Netherlands,Arrhythmia
3 October 2010,Walter Nones,Italy,Fall
3 May 2010,Serguey Nikitin,Russia,Altitude sickness
25 September 2009,Clifton Maloney,United States,Illness
2 June 2009,Dennis Verhoeve,Netherlands,Fall
5 October 2008,Miha Valič,Slovenia,Altitude sickness
4 October 2008,Guy Leveille,Canada,Fall
9 May 2006,Raymund Spang,Germany,Fall
11 May 2005,Lubos Stacho,Slovakia,Illness
13 October 2004,Xabier Ormazabal,Spain,Hypothermia
6 October 2003,Christos Barouchas,Greece,Exhaustion
16 May 2003,Guenter Welkisch,Germany,Altitude sickness
14 May 2003,Paul Carr,Australia,Illness
14 May 2002,Adam Cinnamond,United Kingdom,Crevasse
30 April 2002,Chhong Ringee,Nepal,Unknown
9 September 2001,Su-ya Kim,South Korea,Altitude sickness
11 October 2000,Pavle Milošević,Serbia and Montenegro,Illness
20 September 2000,Pemba Gyalzen,Nepal,Avalanche
20 September 2000,Pasang Nuru,Nepal,Avalanche
20 September 2000,Pasang Nima,Nepal,Avalanche
4 May 2000,Pavel Bonadysenko,Russia,Fall
4 May 2000,Noora Toivonen,Finland,Fall
Winter 1999,Joan Carrillo Junca,Spain,Fall
26 September 1998,Alexander Jaggi,Switzerland,Illness
13 May 1998,Gerald Roesner,Germany,Fall
30 April 1998,Viktor Stepanov,Russia,Illness
10 October 1996,Lubos Becak,Czech Republic,Altitude sickness
6 October 1996,Hiroshi Oya,Japan,Altitude sickness
20 April 1996,Friedrich Zintl,Germany,Illness
8 October 1994,Lhakpa Gyalu,Nepal,Illness
24 January 1994,Juan Carlos Piedra,Switzerland,Fall
24 January 1994,Jean-Luc Beausire,Switzerland,Fall
20 May 1992,Philippe Monnerat,Switzerland,Fall
21 October 1991,Yuri Grebeniuk,Soviet Union,Falling rock/ice
11 May 1991,Horst Wasmann,Germany,Fall
Summer 1990,Chandra Gurung,Nepal,Illness
25 December 1989,Ang Lhakpa Nuru,Nepal,Fall
29 September 1988,Daniel Bovero,France,Altitude sickness
12 May 1988,Stefan Wörner,Switzerland,Altitude sickness
23 October 1986,Pierre-Alain Steiner,Switzerland,Fall
19 May 1982,Reinhard Karl,West Germany,Avalanche
7 May 1964,Alois Thurmayr,West Germany,Altitude sickness
4 May 1964,Georg Huber,West Germany,Altitude sickness
2 October 1959,Chhowang,Nepal,Avalanche
2 October 1959,Ang Norbu,Nepal,Avalanche
2 October 1959,Claudine van der Straten-Ponthoz,Belgium,Avalanche
2 October 1959,Claude Kogan,France,Avalanche
28 April 1958,Narendra Dhar Jayal,India,Altitude sickness
